Title,Summary,Genre,Feature
위험한 만찬,인생의 절반 이상을 함께한 친구들. 속속들이 다 아는 사이에 휴대전화 메시지쯤은 공개할 수 있잖아? 장난처럼 시작한 게임이 저녁 식사 자리를 아수라장으로 만든다.,프랑스 영화 코미디,위트
더 패키지,"깊은 산중, 캠핑하던 10대 소년이 병원에 실려 간다. 친구들의 손에 남은 건 그의 가장 소중한 그것! 서둘러라, 한 남자의 운명과 네 친구의 존엄이 걸린 배달이 시작된다!",미국 영화 청춘 영화 코미디 다크 코미디,황당한 이야기 선정적 푼수 캐릭터
렛 잇 스노우,"크리스마스이브, 세찬 눈보라가 작은 마을을 덮친다. 각자의 사연을 지닌 마을의 고등학교 졸업반 학생들. 예기치 못한 폭설은 이들의 우정, 사랑, 미래까지 뒤흔든다.",LGBTQ 영화 미국 영화 청춘 영화 로맨스 영화 인기 로맨스 코미디 로맨틱 코미디,기분 좋아지는 시간 로맨스
커피 & 카림,주변머리 없는 디트로이트 경찰 커피. 엄마의 남자 친구인 그가 꼴도 보기 싫은 카림. 두 사람이 떼려야 뗄 수 없는 사이가 된다. 왜? 마약상들이 죽이려고 쫓아와서!,미국 영화 액션   어드벤처 코미디 액션 액션   어드벤처 범죄 코미디,황당한 이야기 흥미진진
바르셀로나 이비자 DJ,"스페인 출장을 떠나는 하퍼. 하지만 노는 데 목숨 건 친구들이 따라붙어 귀찮게 한다. 심지어 유명한 DJ와 어떻게 해보라고 부추기는데! 일이냐 연애냐, 그것이 문제로다.",미국 영화 로맨스 영화 로맨스 엉뚱하고 기발 코미디 로맨틱 코미디,선정적 위트 엉뚱 기발 로맨스
데스페라도스,그거 알아? 술이 원수다. 그렇지 않고서야 그에게 그런 망측한 메일을 보낼 리가 있나. 이 사태를 수습하기 위해 친구들과 멕시코로 날아가는 웨스. 반드시 지우고 만다!,미국 영화 로맨스 영화 로맨스 엉뚱하고 기발 코미디 로맨틱 코미디,황당한 이야기 엉뚱 기발 로맨스
빤스맨과 네 맘대로 극장,크럽 교장 선생님이 단단히 뿔났다. 조지와 해롤드의 나무집을 없애버리겠다고? 둘만의 힘으론 막을 수 없다! 우리의 선택으로 나무집을 구해내는 인터랙티브 스페셜.,코미디 가족 미국 영화 영화 도서 원작 코미디 영화 어린이   가족,푼수 캐릭터
두 오버,옛 친구의 권유를 받아들여 자신이 죽은 듯 가장한 한 은행 지점장. 이제 모험으로 가득찬 그의 인생이 시작된다.,미국 영화 액션   어드벤처 코미디 액션 코미디,선정적 푼수 캐릭터
유니콘 스토어,"재능을 꽃피우지 못하고 미대를 중퇴한 키트. 더는 꿈만 좇으며 살지 않고자, 회사에 취직한다. 그런 그녀 앞에 나타난 신비한 상점. 이곳에서 유니콘을 데려올 수 있다고?",미국 영화 코미디 인디 영화,엉뚱 기발 가슴 뭉클
와인 컨트리,오랜 친구의 생일에 모처럼 뭉친 친구들. 와인의 천국 내파밸리로 여행을 간다. 이제부터 우정이 무르익는 완벽한 주말? 하지만 시간이 갈수록 상황은 점점 난장판이 된다.,미국 영화 코미디,위트
러브 웨딩 리피트,하나뿐인 여동생의 결혼식. 테이블 배치 때문에 대혼란이 일어난다. 설상가상 마음에 둔 그녀까지 놓쳐버린 잭. 만약 처음으로 다시 돌아가 다른 방법을 쓴다면 어떨까?,영국 영화 로맨스 영화 코미디 로맨틱 코미디,위트 가슴 뭉클 로맨스
크레이지 티처,"성공의 척도는 돈이라고 철석같이 믿는 남자. 생계를 위해 어쩔 수 없이 교사가 된다. 하지만 선생님들의 급여가 몽땅 도난당할 줄이야. 상대가 얼마나 위험한 조직이든, 가만있을 순 없다. 교사, 학생들과 함께 돈을 되찾으러 출발!",인도네시아 영화 코미디,잔잔한 분위기
작은 사탄,"의욕에 불타는 새신랑이자 새아빠 게리. 정말로 잘해보고 싶었건만, 다섯 살 의붓아들이 악마일지도 모른다니! 게리는 무섭지만 보는 사람은 웃기는 호러 코미디.",미국 영화 호러 영화 코미디 호러 코미디 다크 코미디,황당한 이야기 무서운 이야기
이지와 오시,셰프가 되고 싶은 소녀와 복서로 성공하고 싶은 소년. 그들이 서로의 꿈을 위해 동맹을 맺는다. 억만장자인 소녀의 부모를 설득해 돈을 받아낼 것. 일단 계획은 완벽하다. 이대로 흘러가기만 한다면!,독일 영화 로맨스 영화 코미디 로맨틱 코미디,선정적 로맨스
공각기동대 에스에이씨_2045,"금융 위기 이후, AI가 주도하는 지속 가능 전쟁이 퍼지고 있다. 테러와 내전으로 멸망의 길을 가는 세계. 새로운 유형의 사이버 위협에 맞서기 위해, 공안 9과가 나선다.",TV 프로그램 만화 원작 일본 애니메이션 액션 일본 애니메이션 SF   판타지 일본 TV 프로그램 애니 시리즈 사이버펑크,긴장감 넘치는 흥미진진
B: 더 비기닝,"연쇄살인범 ‘킬러 B’를 추적하는 천재 수사관 키스. 비밀스러운 악의 집단을 감지한 그 앞에 수수께끼의 소년이 나타난다. 코쿠, 그 소년이 거대한 음모의 열쇠인 걸까.",일본 미스터리   스릴러 애니메이션 일본 애니메이션 액션 일본 애니메이션 SF   판타지 일본 TV 프로그램 애니 시리즈,다크 긴장감 넘치는 흥미진진
세기의 도둑들,"1994년 10월, 당대 최고 규모의 강도 사건이 터진다. 콜롬비아에서 가장 안전한 곳이 털린 것. 정부는 부랴부랴 돈을 회수할 묘안을 내고, 축배를 들던 절도범들은 발등에 불이 떨어진다. 실화를 바탕으로 한 작품.",라틴 아메리카 TV 쇼 TV 프로그램 스릴러,긴장감 넘치는
나는 살인자다,"만약 그날이 아니었다면, 그들의 미래는 바뀌었을까. 사형을 선고받은 1급 살인범들이 악몽의 그날을 증언한다. 선과 악, 죄와 벌을 되묻게 만드는 다큐멘터리 시리즈.",실제 범죄 다큐멘터리 영국 TV 프로그램 다큐시리즈,도발 다크
원티드: 세계 최악의 수배자들,"전 세계에서 가장 위험한 수배자들을 쫓은 다큐멘터리. 엄청난 현상금, 대대적인 수사, 끈질긴 추적에도 잡히지 않는다. 그러나 수십 년이 걸리더라도 반드시 잡아야 한다.",실제 범죄 다큐멘터리 프랑스 TV 쇼 다큐시리즈,도발 수사
리얼 나르코스 리포트,특수부대에서 10년 동안 복무하며 아프가니스탄 마약왕을 추적한 제이슨 폭스. 그가 총 대신 카메라를 들었다. 전 세계 마약 거래의 검은 심장부에 관한 특별 보고서.,영국 TV 프로그램 다큐시리즈,수사
트레일러 파크 보이즈,노바스코샤 트레일러 파크에서 사기 행각을 벌이는 상습 경범죄자들이면서 오랜 친구인 세 명의 남자들이 술에 취해 벌이는 각종 크고 작은 사고에 관한 이야기.,시트콤 캐나다 TV 쇼 프로그램 TV 프로그램 코미디,선정적
겐간 아슈라,기업 간의 분쟁을 맨몸의 승부로 해결한다. 그 비밀스러운 세계로 들어간 도키타 오마. 하지만 그가 원하는 건 돈이 아니다. 단지 싸우고 싶을 뿐. 그는 승리를 갈망한다.,TV 프로그램 만화 원작 일본 애니메이션 액션 일본 TV 프로그램 애니 시리즈,폭력 흥미진진
격투맨 바키,악명 높은 사형수 5명이 탈출한 뒤 도쿄에 집결한다. 이들이 노리는 것은 17살 소년 한마 바키. 지하 투기장의 최강 격투가인 바키는 원치 않는 혈투에 휘말린다.,TV 프로그램 만화 원작 일본 소년 만화를 만나다 일본 애니메이션 액션 일본 TV 프로그램 애니 시리즈,폭력 흥미진진
